index,age,income,region,sex,race,education,party,ideology,religion,attendance,marital,actual_response,llm_raw,llm_parsed,tokens_input,tokens_output,cost_usd,error
17,41.0,5623.0,West North Central,Female,White,Less than high school,,Moderate,Catholic,Every week,Never married,Oppose,"Oppose — My faith emphasizes the sanctity of life, and I worry about wrongful convictions; life without parole feels like a better alternative.",Oppose,225.0,421.0,0.0059375,
18,31.0,27607.0,New England,Female,White,Graduate degree,Strong Democrat,Extremely liberal,Jewish,Less than once a year,Never married,Oppose,"Oppose — I don’t think the state should take a life. The death penalty hasn’t shown clear deterrent effects, risks executing innocent people, and is applied unevenly, especially across race and class. Life without parole is a safer, more just alternative.",Oppose,236.0,126.0,0.002283,
19,21.0,4601.0,Middle Atlantic,Female,Black,High school,Independent,Moderate,Muslim/Islam,2-3 times a month,Never married,Oppose,"Oppose — I worry about wrongful convictions and racial bias in the system, and I’d rather see life without parole. My faith also leans me toward mercy over execution.",Oppose,238.0,300.0,0.004464,
20,72.0,19965.0,East North Central,Female,White,Associate/Junior college,Not very strong Democrat,Slightly liberal,Catholic,Less than once a year,Divorced,Favor,"Oppose. Too many wrongful convictions and unequal application; life without parole protects the public without taking a life, and I don’t believe it deters crime.",Oppose,241.0,425.0,0.0060355,
21,20.0,6646.0,East North Central,Female,Black,High school,"Independent, close to Democrat",Moderate,Protestant,Once a year,Never married,Favor,"Oppose — too many wrongful convictions and racial disparities in the system; life without parole holds people accountable without risking executing an innocent person, and I’m not convinced it deters crime.",Oppose,237.0,302.0,0.004486,
22,39.0,5623.0,East North Central,Female,White,Associate/Junior college,"Independent, close to Democrat",Moderate,None,Never,Divorced,Favor,"Oppose. Too many wrongful convictions and biases in how it’s applied; life without parole protects the public without risking an irreversible mistake. I understand the impulse in extreme cases, but overall I can’t support it.",Oppose,231.0,372.0,0.005343,
23,81.0,22495.0,West North Central,Female,Black,Less than high school,"Independent, close to Democrat",Liberal,Protestant,Several times a year,Widowed,Oppose,"Oppose — too many wrongful convictions and racial disparities, and life without parole is a safer, just alternative. My faith also leads me to favor mercy over taking a life.",Oppose,240.0,300.0,0.00447,
24,56.0,15337.0,West North Central,Male,Other,Less than high school,Not very strong Democrat,Conservative,Catholic,Once a month,Married,Favor,"Favor — especially in the most heinous cases with clear, overwhelming evidence and full appeals. I respect my Church’s stance, but I believe it can be a just penalty in rare cases to honor victims and protect society.",Favor,237.0,437.0,0.0061735,
25,65.0,2249.0,New England,Female,White,High school,"Independent, close to Democrat",Liberal,Catholic,2-3 times a month,Widowed,Favor,"Oppose — As a Catholic and a liberal, I don’t think the state should take a life. Too many wrongful convictions and unequal application, and life without parole is a safer, sufficient alternative.",Oppose,240.0,433.0,0.0061325,
26,57.0,65439.0,New England,Female,White,High school,Strong Republican,Extremely conservative,Protestant,Every week,Married,Favor,"Favor. For the most heinous murders, the punishment should fit the crime; it can deliver justice and deter others when guilt is certain and due process is thorough, bringing some closure to victims’ families.",Favor,232.0,306.0,0.004521,
27,39.0,7713.0,East North Central,Male,Black,High school,Independent,Slightly conservative,None,,Never married,Favor,Oppose — too many wrongful convictions and racial disparities; life without parole holds people accountable without risking executing an innocent person.,Oppose,226.0,353.0,0.0050904999999999995,
28,72.0,27607.0,West North Central,Female,White,High school,Not very strong Democrat,Slightly liberal,Protestant,Never,Widowed,Oppose,Oppose — I worry about wrongful convictions and uneven application; life without parole is a safer alternative.,Oppose,235.0,221.0,0.0034675,
29,79.0,33742.0,East North Central,Male,White,High school,Strong Republican,Conservative,Protestant,Once a year,Married,Oppose,"Favor — for the most heinous murders, I believe the death penalty is appropriate when guilt is certain, with strong safeguards and appeals to prevent wrongful convictions.",Favor,233.0,232.0,0.0035989999999999998,
30,18.0,135195.0,East North Central,Female,White,High school,Not very strong Democrat,Extremely liberal,None,Never,Never married,Oppose,"Oppose — too many wrongful convictions and racial biases, it doesn’t deter crime, and life without parole is a better, reversible alternative than having the state take a life.",Oppose,229.0,236.0,0.003637,
31,72.0,33742.0,New England,Female,White,Bachelor's degree,"Independent, close to Democrat",Slightly liberal,Other,Every week,Divorced,Oppose,"Oppose — Too many wrongful convictions and unequal application, and I have moral concerns. Life without parole protects the public without risking irreversible mistakes.",Oppose,235.0,357.0,0.0051675,
32,34.0,27607.0,New England,Male,Other,Bachelor's degree,"Independent, close to Democrat",Slightly liberal,None,Never,Never married,Oppose,"Oppose — Too many wrongful convictions and racial/socioeconomic biases, no clear deterrent effect, and life without parole protects the public without risking irreversible mistakes.",Oppose,229.0,297.0,0.0043995,
33,,,,,,,,,,,,,,,,,,"Error code: 400 - {'error': {'message': 'Could not finish the message because max_tokens or model output limit was reached. Please try again with higher max_tokens.', 'type': 'invalid_request_error', 'param': None, 'code': None}}"
34,55.0,49080.0,West North Central,Female,Other,Bachelor's degree,Other party,Moderate,Catholic,Never,Divorced,Favor,"Oppose — I don’t trust the system to be error-proof, and life without parole protects the public without risking executing an innocent person. It’s applied unevenly, doesn’t clearly deter crime, and I’m morally uncomfortable with the state taking a life.",Oppose,231.0,445.0,0.0062555,
35,89.0,13292.0,East North Central,Female,White,High school,Not very strong Republican,Moderate,Protestant,Every week,Widowed,Favor,"Favor — for the most heinous cases, when guilt is certain and after thorough appeals. I worry about wrongful convictions, so it should be rare and carefully applied.",Favor,235.0,362.0,0.00523,
36,61.0,6646.0,East North Central,Male,Black,High school,Not very strong Democrat,Extremely liberal,Protestant,Every week,Separated,Favor,"Oppose — Too many wrongful convictions and clear racial bias in how it’s applied. It doesn’t deter crime, costs more than life without parole, and my faith leads me to value mercy and the chance for redemption.",Oppose,235.0,437.0,0.0061675,
37,28.0,40900.0,East North Central,Male,White,High school,Strong Republican,Extremely conservative,Protestant,Nearly every week,Never married,Favor,"Favor — For the worst murders, justice should be firm. I believe the death penalty can deter, protect society, and deliver justice for victims, as long as there’s strong evidence and careful appeals to avoid wrongful convictions.",Favor,235.0,245.0,0.0037675,
38,76.0,117564.0,East North Central,Male,White,Graduate degree,Strong Republican,Slightly conservative,Catholic,Every week,Never married,Favor,"Favor — in the most heinous cases, with exhaustive due process and certainty of guilt, I believe it can serve justice and protect society, though it should be used very sparingly.",Favor,234.0,430.0,0.006077,
39,79.0,18405.0,East North Central,Male,White,Bachelor's degree,Strong Republican,Conservative,Protestant,Nearly every week,Married,Favor,"Favor — For the most heinous murders, the death penalty delivers justice, protects society, and can deter others, provided there are strong safeguards and thorough appeals to prevent wrongful convictions.",Favor,233.0,237.0,0.0036615,
40,47.0,50820.0,East North Central,Male,White,Graduate degree,"Independent, close to Democrat",Slightly liberal,Protestant,2-3 times a month,Married,Oppose,"Oppose — Too much risk of wrongful convictions and unequal application; life without parole protects the public without the moral and financial costs, and my faith makes me uneasy about the state taking a life.",Oppose,241.0,368.0,0.005323,
41,35.0,18405.0,New England,Female,Other,Associate/Junior college,"Independent, close to Democrat",Liberal,None,Never,Never married,Oppose,"Oppose — too many wrongful convictions and racial inequities, no clear deterrent effect, and life without parole protects the public without irreversible mistakes.",Oppose,231.0,230.0,0.003568,
42,31.0,27607.0,East North Central,Female,Other,Associate/Junior college,Independent,Moderate,Muslim/Islam,More than once a week,Married,Favor,"Oppose — I worry about wrongful convictions and unequal application. Life without parole holds people accountable without risking irreversible mistakes, and my faith emphasizes mercy and the possibility of repentance.",Oppose,239.0,427.0,0.0060545,
43,61.0,36300.0,East North Central,Female,White,Bachelor's degree,Strong Republican,Conservative,Protestant,Nearly every week,Married,Favor,"Favor. For the most heinous murders, I believe it’s a just punishment and can bring some measure of closure, provided there are strong safeguards and appeals to prevent wrongful convictions.",Favor,233.0,237.0,0.0036615,
44,21.0,135195.0,West North Central,Male,White,High school,Not very strong Democrat,Liberal,None,Never,Never married,Oppose,"Oppose — Too much risk of executing an innocent person, the system is biased by race and class, it doesn’t deter better than life without parole, and life sentences protect the public without crossing that line.",Oppose,228.0,307.0,0.0045215,
45,75.0,27607.0,East North Central,Male,White,High school,"Independent, close to Democrat",Moderate,Catholic,Less than once a year,Widowed,Favor,"Favor — for the most heinous cases with overwhelming evidence (like DNA), though I worry about wrongful convictions and think it should be used very rarely.",Favor,239.0,423.0,0.006004499999999999,
46,71.0,117564.0,New England,Male,White,Bachelor's degree,Not very strong Republican,Slightly conservative,Catholic,Every week,Married,Favor,"Oppose. As a practicing Catholic and someone who worries about wrongful convictions, I’d rather see life without parole—punishes severely without the risk of taking an innocent life.",Oppose,234.0,364.0,0.005252000000000001,
47,30.0,3680.0,Middle Atlantic,Female,White,High school,Not very strong Republican,Slightly conservative,Protestant,Never,Never married,Oppose,"Favor. For the most heinous murders, I think it’s a just punishment—but only with overwhelming evidence (like DNA) and strong safeguards to prevent wrongful convictions.",Favor,234.0,490.0,0.006827000000000001,
48,71.0,65439.0,East North Central,Male,White,Bachelor's degree,Independent,Slightly conservative,None,Less than once a year,Married,Favor,"Favor — for the most egregious murders, I think it can be a just penalty, as long as the evidence is rock-solid (e.g., DNA) and there are strong safeguards and appeals to prevent wrongful executions.",Favor,225.0,310.0,0.00455,
49,58.0,11797.0,West North Central,Female,Other,Bachelor's degree,Strong Democrat,Slightly liberal,Buddhism,Once a month,Never married,Favor,"Oppose — As a Buddhist and a strong Democrat, I don’t believe the state should take a life. The risk of wrongful convictions and racial disparities is too high, and life without parole keeps the public safe without that moral cost.",Oppose,235.0,440.0,0.006205,
50,33.0,3067.0,Middle Atlantic,Male,Black,High school,"Independent, close to Democrat",Moderate,Catholic,Once a year,Never married,Oppose,"Oppose. Too many wrongful convictions and racial disparities, and I’d rather see life without parole than the state taking a life. It doesn’t seem to deter crime and goes against my moral instincts.",Oppose,236.0,305.0,0.0045205,
51,26.0,40900.0,West North Central,Male,White,Bachelor's degree,Strong Democrat,Extremely liberal,None,Never,Married,Oppose,"Oppose — It risks executing innocent people, is applied unfairly, doesn’t deter crime, costs more than life without parole, and we have humane alternatives like LWOP.",Oppose,226.0,172.0,0.002828,
52,71.0,36300.0,Middle Atlantic,Male,White,High school,Not very strong Republican,Slightly conservative,Catholic,Every week,Married,Favor,,,234.0,500.0,0.006952000000000001,
53,72.0,7713.0,East North Central,Female,White,High school,Strong Republican,Conservative,Protestant,2-3 times a month,Never married,Favor,"Favor — for the most heinous murders, I believe the ultimate penalty is warranted if guilt is certain and due process is fully followed, both for justice and protecting society.",Favor,238.0,363.0,0.0052515,
54,50.0,24502.0,New England,Female,Black,High school,Not very strong Democrat,Moderate,Protestant,Several times a year,Married,Favor,"Oppose — I worry about wrongful convictions and racial bias, and I think life without parole is a safer, just alternative. My faith also makes me uneasy about the state taking a life.",Oppose,235.0,367.0,0.0052925,
55,64.0,18405.0,East North Central,Female,Other,Bachelor's degree,Not very strong Democrat,Moderate,Catholic,Once a month,Married,Oppose,Oppose — My faith and concerns about wrongful convictions and unequal application lead me to prefer life without parole over executions.,Oppose,235.0,352.0,0.005105,
56,42.0,4601.0,Middle Atlantic,Male,White,High school,Other party,Moderate,None,Never,Separated,Favor,"Oppose — Too many wrongful convictions and unequal application. Life without parole protects the public without risking executing an innocent person, and I don’t think the death penalty deters crime.",Oppose,224.0,365.0,0.0052345,
57,52.0,40900.0,West North Central,Female,White,Graduate degree,"Independent, close to Democrat",Moderate,None,Never,Divorced,Favor,"Oppose — The risk of wrongful convictions and unequal application is too high, and it hasn’t shown a clear deterrent effect. Life without parole protects the public without the irreversibility and higher costs of capital punishment.",Oppose,228.0,310.0,0.004559,
58,42.0,4083.0,New England,Female,White,High school,Not very strong Democrat,Slightly liberal,None,Never,Never married,Oppose,"Oppose. Too many wrongful convictions and racial biases, and it doesn’t deter crime. Life without parole is a safer, more just alternative.",Oppose,228.0,358.0,0.0051589999999999995,
59,44.0,8691.0,East North Central,Female,Black,Graduate degree,Not very strong Democrat,Slightly conservative,Protestant,Less than once a year,Separated,Favor,"Oppose — too much risk of wrongful convictions and racial bias, and life without parole can ensure accountability without the possibility of an irreversible mistake.",Oppose,238.0,421.0,0.0059765,
60,33.0,11797.0,East North Central,Male,White,Bachelor's degree,"Independent, close to Democrat",Slightly liberal,Catholic,2-3 times a month,Married,Favor,"Oppose — As a Catholic and slightly liberal independent, I don’t think the state should take a life. Too many wrongful convictions and racial/economic biases exist, and life without parole protects the public without the risk of irreversible mistakes.",Oppose,241.0,312.0,0.0046229999999999995,
61,63.0,135195.0,East North Central,Female,White,Bachelor's degree,Independent,Moderate,None,,Married,Oppose,"Favor — in the most heinous cases with overwhelming evidence (e.g., DNA), though I worry about wrongful convictions and bias. Life without parole should be the default, with strict safeguards and thorough appeals for any death penalty case.",Favor,224.0,375.0,0.0053595,
62,33.0,2722.0,New England,Female,White,High school,Strong Republican,Slightly conservative,Christian,Several times a year,Never married,Favor,"Favor — for the worst murders, I think it’s a just punishment and can deter crime. It should be rare and only applied with strong evidence (like DNA) and careful appeals to avoid wrongful convictions.",Favor,235.0,306.0,0.00453,
63,44.0,27607.0,East North Central,Female,White,Associate/Junior college,Strong Republican,Extremely conservative,Protestant,Every week,Married,Favor,"Favor. For the worst murders, capital punishment is a just consequence and helps protect society; with proper due process it’s appropriate. My faith also teaches the state has authority to punish evil.",Favor,236.0,367.0,0.005295500000000001,
64,24.0,58080.0,East North Central,Female,White,Bachelor's degree,"Independent, close to Republican",Moderate,Catholic,Once a year,Never married,Favor,"Favor — for the most egregious cases with overwhelming evidence, I think it can be a just option, though I worry about wrongful convictions and support strict safeguards; life without parole should be used when there’s any doubt.",Favor,237.0,438.0,0.006186,
65,44.0,65439.0,Middle Atlantic,Male,White,Associate/Junior college,Strong Republican,Conservative,Catholic,Every week,Married,Favor,"Favor — for the most heinous murders, when guilt is certain (e.g., DNA, multiple witnesses), the death penalty can be a just punishment and protect society. It should be rare and have strong safeguards and appeals. I respect my Church’s concerns, but I still support it in clear-cut cases.",Favor,234.0,455.0,0.0063895,
66,44.0,22495.0,East North Central,Male,Other,High school,Independent,Slightly conservative,None,Never,Divorced,Favor,"Favor — For the most egregious murders with overwhelming evidence, I think it’s justified, but it should be rare and have strong safeguards to prevent wrongful convictions.",Favor,225.0,362.0,0.005200000000000001,
67,29.0,4083.0,East North Central,Female,Black,Bachelor's degree,"Independent, close to Democrat",Moderate,Protestant,Once a year,Divorced,Oppose,Oppose — too many wrongful convictions and racial disparities in how it’s applied. Life without parole holds people accountable without risking an irreversible mistake.,Oppose,236.0,358.0,0.005183,
68,34.0,29947.0,East North Central,Male,White,High school,Strong Republican,Conservative,Protestant,Every week,Married,Favor,"Favor — for the most heinous murders, the death penalty is a just punishment and can deter others, provided there’s strong evidence (like DNA) and thorough appeals to avoid wrongful convictions.",Favor,232.0,303.0,0.0044835,
69,62.0,11247.0,Middle Atlantic,Female,White,Less than high school,"Independent, close to Republican",Slightly conservative,Protestant,Once a year,Widowed,Favor,"Favor — For the most heinous murders, I think the death penalty can be appropriate, as long as the evidence is rock solid and the process is fair to avoid wrongful convictions.",Favor,239.0,301.0,0.0044795,
70,39.0,49080.0,New England,Female,White,Graduate degree,Strong Democrat,Slightly liberal,Catholic,Less than once a year,Married,Favor,"Oppose — I don’t think the state should take a life, especially given wrongful convictions and racial disparities. It doesn’t deter crime, and life without parole is a safer, just alternative that aligns with my values and faith.",Oppose,235.0,247.0,0.0037925,
71,65.0,726.0,Middle Atlantic,Female,White,High school,"Independent, close to Democrat",Moderate,Protestant,Nearly every week,Never married,Oppose,,,234.0,500.0,0.006952000000000001,
72,55.0,3067.0,West North Central,Male,Black,High school,Not very strong Republican,Conservative,Protestant,Never,Never married,Oppose,,,234.0,500.0,0.006952000000000001,
73,77.0,50820.0,West North Central,Female,White,Bachelor's degree,Not very strong Democrat,Slightly liberal,Protestant,2-3 times a month,Married,Oppose,"Oppose — Too many wrongful convictions and disparities for me to trust the system with life and death. Life without parole protects the public without taking another life, which fits better with my values and faith.",Oppose,240.0,369.0,0.0053325000000000004,
74,31.0,7668.0,Middle Atlantic,Male,White,Associate/Junior college,Not very strong Democrat,Slightly liberal,None,Never,Never married,Favor,Oppose. Too many wrongful convictions and unequal application; life without parole protects the public without risking executing an innocent person.,Oppose,231.0,225.0,0.0035055,
75,60.0,11247.0,Middle Atlantic,Male,White,Less than high school,Independent,Conservative,Protestant,Every week,Divorced,Favor,"Favor. For the worst murders, I believe justice sometimes requires it. It protects society, and with today’s evidence and appeals, it should be used carefully when guilt is certain.",Favor,232.0,365.0,0.005258499999999999,
76,30.0,3680.0,East North Central,Male,White,Less than high school,Independent,Moderate,None,Never,Never married,Favor,,,227.0,500.0,0.0069310000000000005,
77,33.0,9713.0,New England,Female,White,Associate/Junior college,Independent,Moderate,None,Less than once a year,Never married,Favor,,,227.0,500.0,0.0069310000000000005,
78,36.0,117564.0,New England,Male,White,High school,Strong Democrat,Liberal,None,Never,Never married,Favor,"Oppose — too many wrongful convictions and racial/wealth biases, no clear deterrent effect, and life without parole protects the public without risking executing someone innocent.",Oppose,225.0,233.0,0.0035875000000000004,
79,63.0,4991.0,West North Central,Male,White,Graduate degree,Not very strong Democrat,Moderate,Jewish,Several times a year,Divorced,Favor,"Oppose — Too much risk of executing the innocent, unequal application, and no clear deterrent effect. Life without parole is a safer alternative.",Oppose,236.0,358.0,0.005183,
80,45.0,181.0,West North Central,Female,White,Bachelor's degree,Not very strong Democrat,Slightly liberal,Protestant,Once a year,Divorced,Oppose,Oppose. The risk of wrongful convictions and unequal application is too high; life without parole protects the public without the irreversible step and is often less costly.,Oppose,234.0,424.0,0.006002,
81,78.0,36300.0,Middle Atlantic,Male,Black,Associate/Junior college,"Independent, close to Democrat",Liberal,None,Never,Divorced,Oppose,"Oppose. Too many wrongful convictions and racial biases in the system, and life without parole protects the public without risking executing an innocent person. It’s not proven to deter crime and often costs more than alternatives.",Oppose,230.0,179.0,0.0029275,
82,62.0,50820.0,East North Central,Female,White,Graduate degree,Independent,Moderate,None,Never,Widowed,Oppose,"Oppose — too many wrongful convictions and uneven application, no clear deterrent effect, and life without parole protects the public without the risk of irreversible mistakes.",Oppose,225.0,360.0,0.005175,
83,45.0,11247.0,Middle Atlantic,Female,White,High school,Independent,Moderate,None,Never,Married,Favor,,,223.0,500.0,0.006919000000000001,
84,18.0,7713.0,West North Central,Male,Other,High school,Not very strong Democrat,Slightly liberal,Catholic,Nearly every week,Never married,Oppose,"Oppose. My faith values life, and with the risk of wrongful convictions, life without parole is a better alternative than the state taking a life.",Oppose,237.0,359.0,0.0051985,
85,66.0,24502.0,East North Central,Female,White,Bachelor's degree,Not very strong Democrat,Moderate,Catholic,Once a year,Divorced,Favor,"Oppose — Too many wrongful convictions and inconsistencies, and life without parole protects the public without risking an irreversible mistake. My faith also inclines me to value life.",Oppose,235.0,363.0,0.0052425,
86,64.0,50820.0,West North Central,Male,White,High school,Independent,Moderate,Protestant,Every week,Married,Favor,"Favor — for the most egregious murders, I think it can be just if used very sparingly with strong safeguards and thorough appeals to prevent wrongful convictions and ensure fairness.",Favor,231.0,428.0,0.006043,
87,53.0,117564.0,Middle Atlantic,Female,White,Bachelor's degree,Independent,Slightly liberal,Catholic,Several times a year,Never married,Favor,"Oppose — Too many risks of wrongful convictions, no clear deterrent effect, and life without parole is sufficient. My faith also leans me toward valuing life even after terrible crimes.",Oppose,234.0,239.0,0.0036895,
88,44.0,29947.0,West North Central,Female,White,Associate/Junior college,Strong Democrat,Extremely liberal,None,Never,Divorced,Oppose,"Oppose — too many wrongful convictions and racial/economic biases, no clear deterrent effect, and life without parole protects the public without the risk of an irreversible mistake.",Oppose,229.0,235.0,0.0036245,
89,,,,,,,,,,,,,,,,,,"Error code: 400 - {'error': {'message': 'Could not finish the message because max_tokens or model output limit was reached. Please try again with higher max_tokens.', 'type': 'invalid_request_error', 'param': None, 'code': None}}"
90,55.0,5898.0,New England,Male,White,High school,Strong Democrat,Slightly conservative,Protestant,Never,Never married,Favor,Oppose — too many wrongful convictions and unequal application; life without parole is safer and sufficient without risking executing an innocent person.,Oppose,232.0,226.0,0.003521,
91,30.0,33742.0,Middle Atlantic,Male,White,High school,Not very strong Republican,Slightly conservative,None,Never,Divorced,Favor,"Favor — For the most heinous cases with clear evidence (like DNA), I think it’s appropriate. There should be strong safeguards to prevent wrongful convictions.",Favor,227.0,296.0,0.004381,
92,22.0,1270.0,Middle Atlantic,Male,White,Bachelor's degree,Strong Democrat,Liberal,None,Never,Never married,Oppose,"Oppose — Too many wrongful convictions and racial biases, no clear deterrent effect, and life without parole protects the public without giving the state the power to execute.",Oppose,225.0,234.0,0.0036,
93,71.0,24502.0,Middle Atlantic,Female,White,Graduate degree,Independent,Moderate,Catholic,Never,Never married,Oppose,"Oppose — Too many wrongful convictions and inequities, and life without parole protects the public without risking an irreversible mistake; my faith and conscience also make me uneasy about the state taking a life.",Oppose,230.0,432.0,0.00609,
94,31.0,8691.0,West North Central,Female,White,High school,Independent,Moderate,None,Less than once a year,Divorced,Oppose,"Oppose — too many wrongful convictions and biases in the system; life without parole protects the public without risking irreversible mistakes, and it’s often cheaper and no more effective at deterrence.",Oppose,224.0,430.0,0.006046999999999999,
95,27.0,18405.0,East North Central,Male,White,Graduate degree,Independent,Slightly conservative,Protestant,More than once a week,Never married,Favor,"Favor — for the most heinous cases with overwhelming evidence and thorough appeals. I see it as a just response that can protect society and provide some closure, but it should be rare and have strict safeguards to prevent wrongful executions.",Favor,236.0,374.0,0.005383000000000001,
96,38.0,27607.0,East North Central,Female,White,Bachelor's degree,Not very strong Republican,Conservative,Protestant,Once a year,Divorced,Favor,"Favor — for especially heinous murders, I think it can be a just punishment, provided the evidence is airtight and there are strong safeguards and appeals to prevent wrongful convictions.",Favor,235.0,427.0,0.0060425,
97,34.0,43560.0,New England,Female,White,Graduate degree,Not very strong Democrat,Slightly liberal,Protestant,Never,Married,Favor,"Oppose — I worry about wrongful convictions and racial bias, don’t see strong evidence it deters crime, and prefer life without parole as a safer, more just alternative.",Oppose,233.0,172.0,0.002849,
98,47.0,58080.0,West North Central,Male,White,Bachelor's degree,"Independent, close to Democrat",Moderate,None,Never,Never married,Favor,"Oppose — too much risk of wrongful convictions and bias, and life without parole keeps the public safe without executing someone. The deterrence evidence is weak and it’s often more costly than alternatives.",Oppose,229.0,432.0,0.006087,
99,38.0,18405.0,West North Central,Male,White,High school,Independent,Moderate,None,Once a year,Married,Favor,,,224.0,500.0,0.006922,
