index,age,income,region,sex,race,education,party,ideology,religion,attendance,marital,actual_response,llm_raw,llm_parsed,tokens_input,tokens_output,cost_usd
27,39,7713,East North Central,Male,Black,High school,Independent,Slightly conservative,None,,Never married,Favor,"Oppose — I worry about racial bias, wrongful convictions, and an unfair justice system; life without parole is a better, more reliable punishment.",Oppose,226,230,0.0003553
28,72,27607,West North Central,Female,White,High school,Not very strong Democrat,Slightly liberal,Protestant,Never,Widowed,Oppose,"Oppose — I believe it's morally wrong and risks executing innocent people; life imprisonment without parole is a better, less costly alternative.",Oppose,235,163,0.00027424999999999997
29,79,33742,East North Central,Male,White,High school,Strong Republican,Conservative,Protestant,Once a year,Married,Oppose,"Favor — I believe it's an appropriate punishment for those convicted of murder, serving justice for victims and helping protect society.",Favor,233,224,0.0003499
30,18,135195,East North Central,Female,White,High school,Not very strong Democrat,Extremely liberal,None,Never,Never married,Oppose,"Oppose — I think it’s morally wrong and risky given wrongful convictions, and it hasn’t been shown to deter crime; I prefer life without parole.",Oppose,229,168,0.0002787
31,72,33742,New England,Female,White,Bachelor's degree,"Independent, close to Democrat",Slightly liberal,Other,Every week,Divorced,Oppose,Oppose — I believe it’s morally wrong and risks executing the innocent; the system is biased and it doesn’t reliably deter crime. Life without parole is a better alternative.,Oppose,235,236,0.00036550000000000005
32,34,27607,New England,Male,Other,Bachelor's degree,"Independent, close to Democrat",Slightly liberal,None,Never,Never married,Oppose,"Oppose — I’m slightly liberal and not religious, and I don’t trust the justice system to be infallible; capital punishment risks wrongful executions, hasn’t proven to deter murder, and I prefer alternatives like life without parole.",Oppose,229,120,0.0002187
33,44,8691,Middle Atlantic,Male,White,Less than high school,Independent,Moderate,None,Never,Never married,Favor,"Oppose — I'm uncomfortable with risking execution of an innocent person, and the death penalty is applied unevenly and doesn't clearly deter murder; life without parole is a better alternative.",Oppose,226,236,0.00036280000000000004
34,55,49080,West North Central,Female,Other,Bachelor's degree,Other party,Moderate,Catholic,Never,Divorced,Favor,"Oppose — I believe taking a life is wrong, there's a real risk of wrongful convictions, and life imprisonment can protect society without an irreversible punishment.",Oppose,231,231,0.00035805
35,89,13292,East North Central,Female,White,High school,Not very strong Republican,Moderate,Protestant,Every week,Widowed,Favor,"Favor — I believe in justice for the victims and that for particularly heinous murders the death penalty is appropriate, though I do worry about the possibility of wrongful convictions.",Favor,235,234,0.00036300000000000004
36,61,6646,East North Central,Male,Black,High school,Not very strong Democrat,Extremely liberal,Protestant,Every week,Separated,Favor,"Oppose — I believe it’s applied unfairly and risks executing innocent people; as a Black man I worry about racial bias, and I prefer life sentences and rehabilitation over capital punishment.",Oppose,235,366,0.000528
37,28,40900,East North Central,Male,White,High school,Strong Republican,Extremely conservative,Protestant,Nearly every week,Never married,Favor,"Favor — I believe it’s a just punishment and a necessary deterrent for the most heinous murders, and it protects society from dangerous offenders.",Favor,235,230,0.00035800000000000003
38,76,117564,East North Central,Male,White,Graduate degree,Strong Republican,Slightly conservative,Catholic,Every week,Never married,Favor,"Favor. I believe in the death penalty for those convicted of murder as a matter of justice and deterrence, though of course it should be applied only after rigorous legal safeguards.",Favor,234,172,0.0002852
39,79,18405,East North Central,Male,White,Bachelor's degree,Strong Republican,Conservative,Protestant,Nearly every week,Married,Favor,Favor — I believe those who commit murder should face the ultimate punishment; it’s a just response and can bring closure for victims’ families.,Favor,233,293,0.00043614999999999995
40,47,50820,East North Central,Male,White,Graduate degree,"Independent, close to Democrat",Slightly liberal,Protestant,2-3 times a month,Married,Oppose,"Oppose — I’m uncomfortable with state taking a life, worry about wrongful convictions and unequal application, and prefer life imprisonment without parole as punishment.",Oppose,241,166,0.00027979999999999997
41,35,18405,New England,Female,Other,Associate/Junior college,"Independent, close to Democrat",Liberal,None,Never,Never married,Oppose,"Oppose — I believe it's morally wrong and risks executing innocent people, isn't a proven deterrent, and life imprisonment without parole is a better, less costly alternative.",Oppose,231,170,0.00028179999999999997
42,31,27607,East North Central,Female,Other,Associate/Junior college,Independent,Moderate,Muslim/Islam,More than once a week,Married,Favor,"Oppose — I’m uncomfortable with taking a life even for murder given the risk of wrongful convictions, unequal application against the poor and minorities, and moral/religious objections; I prefer life imprisonment and focus on justice and rehabilitation.",Oppose,239,311,0.00046045
43,61,36300,East North Central,Female,White,Bachelor's degree,Strong Republican,Conservative,Protestant,Nearly every week,Married,Favor,"Favor — I believe the death penalty is appropriate for particularly heinous murders to provide justice and deterrence, while insisting on strong safeguards to avoid wrongful convictions.",Favor,233,232,0.0003599
44,21,135195,West North Central,Male,White,High school,Not very strong Democrat,Liberal,None,Never,Never married,Oppose,"Oppose — I don't support state execution; it's morally wrong to me, risks executing innocent people, and doesn't reliably deter crime.",Oppose,228,163,0.00027215
45,75,27607,East North Central,Male,White,High school,"Independent, close to Democrat",Moderate,Catholic,Less than once a year,Widowed,Favor,"Oppose — I’m against taking a life even for murderers; there’s a real risk of wrongful conviction, it’s costly and not clearly a deterrent, and that aligns with my Catholic values.",Oppose,239,306,0.0004542
46,71,117564,New England,Male,White,Bachelor's degree,Not very strong Republican,Slightly conservative,Catholic,Every week,Married,Favor,"Oppose — As a practicing Catholic who attends weekly services, I believe taking a life is wrong; life imprisonment protects society while allowing for the possibility of redemption and avoiding wrongful executions.",Oppose,234,237,0.00036645000000000004
47,30,3680,Middle Atlantic,Female,White,High school,Not very strong Republican,Slightly conservative,Protestant,Never,Never married,Oppose,"Favor — I believe the death penalty is a just punishment for those convicted of murder and can help protect society, though I worry about the possibility of wrongful convictions.",Favor,234,233,0.00036145000000000003
48,71,65439,East North Central,Male,White,Bachelor's degree,Independent,Slightly conservative,None,Less than once a year,Married,Favor,"Favor — I believe in capital punishment for the most heinous, premeditated murders as a matter of justice and deterrence, though it must have strong safeguards to avoid wrongful convictions.",Favor,225,174,0.000285
49,58,11797,West North Central,Female,Other,Bachelor's degree,Strong Democrat,Slightly liberal,Buddhism,Once a month,Never married,Favor,"Oppose — As a Buddhist and a liberal Democrat, I oppose taking life; I worry about wrongful convictions, unequal application, and prefer life imprisonment with focus on justice and rehabilitation.",Oppose,235,173,0.00028675
50,33,3067,Middle Atlantic,Male,Black,High school,"Independent, close to Democrat",Moderate,Catholic,Once a year,Never married,Oppose,"Oppose — I think it's morally wrong and applied unfairly, with a real risk of executing innocent people and racial bias in the system; I prefer life without parole.",Oppose,236,235,0.00036455
51,26,40900,West North Central,Male,White,Bachelor's degree,Strong Democrat,Extremely liberal,None,Never,Married,Oppose,"Oppose — I believe the death penalty is inhumane, risks wrongful executions, disproportionately affects marginalized groups, and doesn't effectively deter murder; life without parole is a better alternative.",Oppose,226,109,0.00020405
52,71,36300,Middle Atlantic,Male,White,High school,Not very strong Republican,Slightly conservative,Catholic,Every week,Married,Favor,"Oppose — As a practicing Catholic who attends Mass weekly, I believe in respecting life and prefer life imprisonment; I’m also concerned about wrongful convictions and unequal application of the death penalty.",Oppose,234,238,0.0003677
53,72,7713,East North Central,Female,White,High school,Strong Republican,Conservative,Protestant,2-3 times a month,Never married,Favor,Favor — I believe murderers deserve the ultimate punishment; it provides justice for victims and can deter the worst crimes.,Favor,238,96,0.0001914
54,50,24502,New England,Female,Black,High school,Not very strong Democrat,Moderate,Protestant,Several times a year,Married,Favor,"Oppose — I’m uncomfortable with taking a life, worry about racial bias and wrongful convictions, and prefer life without parole as punishment.",Oppose,235,164,0.00027550000000000003
55,64,18405,East North Central,Female,Other,Bachelor's degree,Not very strong Democrat,Moderate,Catholic,Once a month,Married,Oppose,"Oppose — As a Catholic and moderate, I’m uncomfortable with state taking a life; there’s also risk of wrongful convictions and life imprisonment can protect society without using death.",Oppose,235,236,0.00036550000000000005
56,42,4601,Middle Atlantic,Male,White,High school,Other party,Moderate,None,Never,Separated,Favor,"Oppose — I’m uneasy about irreversible punishment given the risk of wrongful convictions and the unequal way the death penalty is applied; life sentences seem a safer, more just alternative.",Oppose,224,236,0.0003622
57,52,40900,West North Central,Female,White,Graduate degree,"Independent, close to Democrat",Moderate,None,Never,Divorced,Favor,"Oppose — I’m uncomfortable with the state taking life given the risk of wrongful convictions, unequal application, and little evidence it deters crime; life without parole is a better alternative.",Oppose,228,238,0.0003659
58,42,4083,New England,Female,White,High school,Not very strong Democrat,Slightly liberal,None,Never,Never married,Oppose,"Oppose — I’m against the state taking a life; there’s too much risk of wrongful conviction, it doesn’t reliably deter crime, and life imprisonment is a better, less costly alternative.",Oppose,228,240,0.00036839999999999996
59,44,8691,East North Central,Female,Black,Graduate degree,Not very strong Democrat,Slightly conservative,Protestant,Less than once a year,Separated,Favor,Oppose — I'm concerned about racial bias and the risk of wrongful convictions; I prefer life imprisonment without parole rather than risking taking an innocent life.,Oppose,238,294,0.0004389
60,33,11797,East North Central,Male,White,Bachelor's degree,"Independent, close to Democrat",Slightly liberal,Catholic,2-3 times a month,Married,Favor,"Oppose — I believe the death penalty is morally wrong, risks executing innocent people, and doesn’t reliably deter crime; my faith and values lead me to prefer life imprisonment instead.",Oppose,241,173,0.00028855
61,63,135195,East North Central,Female,White,Bachelor's degree,Independent,Moderate,None,,Married,Oppose,"Oppose — I worry about wrongful convictions and unequal application, and I don't see strong evidence it deters crime; life without parole is a safer, more just alternative.",Oppose,224,171,0.00028094999999999997
62,33,2722,New England,Female,White,High school,Strong Republican,Slightly conservative,Christian,Several times a year,Never married,Favor,"Favor — I believe the death penalty is an appropriate punishment for convicted murderers as a matter of justice and deterrence, provided there are strict safeguards to prevent wrongful convictions.",Favor,235,235,0.00036425
63,44,27607,East North Central,Female,White,Associate/Junior college,Strong Republican,Extremely conservative,Protestant,Every week,Married,Favor,"Favor — I believe the death penalty is an appropriate, just punishment for those convicted of murder and can provide closure for victims’ families.",Favor,236,164,0.0002758
64,24,58080,East North Central,Female,White,Bachelor's degree,"Independent, close to Republican",Moderate,Catholic,Once a year,Never married,Favor,"Favor — I believe the death penalty can be an appropriate punishment for the most heinous murders as a matter of justice and deterrence, though it must be applied very carefully with strong safeguards to avoid wrongful convictions.",Favor,237,243,0.00037485
65,44,65439,Middle Atlantic,Male,White,Associate/Junior college,Strong Republican,Conservative,Catholic,Every week,Married,Favor,"Favor — I believe for particularly heinous murders the death penalty is an appropriate, just punishment and can protect society when guilt is proven beyond a reasonable doubt.",Favor,234,232,0.0003602
66,44,22495,East North Central,Male,Other,High school,Independent,Slightly conservative,None,Never,Divorced,Favor,"Favor — I believe people who commit murder should face the harshest penalty; it provides justice and closure for victims’ families, provided convictions are certain and due process is followed.",Favor,225,300,0.0004425
67,29,4083,East North Central,Female,Black,Bachelor's degree,"Independent, close to Democrat",Moderate,Protestant,Once a year,Divorced,Oppose,"Oppose — I'm concerned about racial bias and wrongful convictions in the justice system, and I prefer life imprisonment without parole over taking a life.",Oppose,236,165,0.00027705
68,34,29947,East North Central,Male,White,High school,Strong Republican,Conservative,Protestant,Every week,Married,Favor,Favor — I believe the death penalty is appropriate for the most heinous murders as a matter of justice and a deterrent; life without parole doesn't always feel like enough for those crimes.,Favor,232,238,0.00036710000000000003
69,62,11247,Middle Atlantic,Female,White,Less than high school,"Independent, close to Republican",Slightly conservative,Protestant,Once a year,Widowed,Favor,Favor — I believe those who commit murder should face the toughest penalties; it’s a matter of justice and gives victims’ families some closure.,Favor,239,165,0.00027795
70,39,49080,New England,Female,White,Graduate degree,Strong Democrat,Slightly liberal,Catholic,Less than once a year,Married,Favor,"Oppose — I believe the death penalty is morally wrong and risks irreversible errors; life imprisonment without parole is a better, more just alternative.",Oppose,235,165,0.00027675
71,65,726,Middle Atlantic,Female,White,High school,"Independent, close to Democrat",Moderate,Protestant,Nearly every week,Never married,Oppose,"Oppose — As a Protestant who goes to church nearly every week, I believe in the sanctity of life and worry about wrongful convictions; I prefer life imprisonment and the chance for rehabilitation.",Oppose,234,239,0.00036895000000000005
72,55,3067,West North Central,Male,Black,High school,Not very strong Republican,Conservative,Protestant,Never,Never married,Oppose,Oppose — As a Black man I worry the system is racially biased and can convict the wrong person; I prefer life without parole over risking an innocent life.,Oppose,234,362,0.0005227
73,77,50820,West North Central,Female,White,Bachelor's degree,Not very strong Democrat,Slightly liberal,Protestant,2-3 times a month,Married,Oppose,"Oppose — I’m uncomfortable with state taking a life, worry about wrongful convictions, and don’t see clear evidence it deters crime; life without parole is a better, safer option.",Oppose,240,175,0.00029075
74,31,7668,Middle Atlantic,Male,White,Associate/Junior college,Not very strong Democrat,Slightly liberal,None,Never,Never married,Favor,"Oppose — I’m against the death penalty because of the risk of wrongful convictions, doubts about its deterrent effect, and concerns about fairness in the justice system; I prefer life without parole.",Oppose,231,176,0.0002893
75,60,11247,Middle Atlantic,Male,White,Less than high school,Independent,Conservative,Protestant,Every week,Divorced,Favor,"Favor — I believe the death penalty is appropriate for those convicted of murder to ensure justice, protect society, and give some closure to victims' families.",Favor,232,167,0.00027835
76,30,3680,East North Central,Male,White,Less than high school,Independent,Moderate,None,Never,Never married,Favor,"Favor — I think for people convicted of murder it’s an appropriate, just punishment and can provide closure for victims’ families, though there should be strong safeguards to prevent wrongful executions.",Favor,227,301,0.00044435
77,33,9713,New England,Female,White,Associate/Junior college,Independent,Moderate,None,Less than once a year,Never married,Favor,"Oppose — I'm uncomfortable with the risk of wrongful convictions, the unequal application by race and income, and I don't think it effectively deters crime; life imprisonment without parole is preferable.",Oppose,227,174,0.0002856
78,36,117564,New England,Male,White,High school,Strong Democrat,Liberal,None,Never,Never married,Favor,"Oppose — I’m against the death penalty on moral and practical grounds: it risks executing the innocent, is applied unevenly, and isn’t a proven deterrent. I prefer life imprisonment without parole.",Oppose,225,178,0.00029
79,63,4991,West North Central,Male,White,Graduate degree,Not very strong Democrat,Moderate,Jewish,Several times a year,Divorced,Favor,"Oppose — I believe the death penalty is morally wrong, risks executing innocent people, and is applied unevenly; life imprisonment is a safer, more humane alternative.",Oppose,236,234,0.0003633
80,45,181,West North Central,Female,White,Bachelor's degree,Not very strong Democrat,Slightly liberal,Protestant,Once a year,Divorced,Oppose,"Oppose — I believe the death penalty is morally wrong and risks executing innocent people; life imprisonment without parole is a safer, more just alternative given systemic biases in the justice system.",Oppose,234,237,0.00036645000000000004
81,78,36300,Middle Atlantic,Male,Black,Associate/Junior college,"Independent, close to Democrat",Liberal,None,Never,Divorced,Oppose,"Oppose — I’m against the death penalty because of the risk of wrongful convictions, the clear racial disparities in its application, and I don’t see it as an effective deterrent. I’d prefer life without parole.",Oppose,230,117,0.00021525
82,62,50820,East North Central,Female,White,Graduate degree,Independent,Moderate,None,Never,Widowed,Oppose,"Oppose — I'm uncomfortable with the risk of wrongful convictions, the uneven and biased application, and the lack of clear deterrent effect; life imprisonment without parole is a safer, more just alternative.",Oppose,225,240,0.0003675
83,45,11247,Middle Atlantic,Female,White,High school,Independent,Moderate,None,Never,Married,Favor,"Oppose — I worry about wrongful convictions and the unequal way it's applied; life without parole is a safer, more humane alternative.",Oppose,223,291,0.00043065
84,18,7713,West North Central,Male,Other,High school,Not very strong Democrat,Slightly liberal,Catholic,Nearly every week,Never married,Oppose,Oppose — My faith and slightly liberal views lead me to reject taking life; there’s also the risk of wrongful convictions and I prefer life imprisonment instead.,Oppose,237,232,0.0003611
85,66,24502,East North Central,Female,White,Bachelor's degree,Not very strong Democrat,Moderate,Catholic,Once a year,Divorced,Favor,"Oppose — As a Catholic and a moderate, I believe it's morally wrong and risks executing innocent people; life without parole is a better, safer alternative.",Oppose,235,296,0.00044050000000000003
86,64,50820,West North Central,Male,White,High school,Independent,Moderate,Protestant,Every week,Married,Favor,"Oppose — I believe life imprisonment without parole is a safer, more moral option; there’s too much risk of wrongful conviction and I don’t feel the state should take a life.",Oppose,231,238,0.0003668
87,53,117564,Middle Atlantic,Female,White,Bachelor's degree,Independent,Slightly liberal,Catholic,Several times a year,Never married,Favor,"Oppose — As a slightly liberal Catholic, I’m uncomfortable with state taking a life; I worry about wrongful convictions and don’t see it as a better deterrent than life imprisonment.",Oppose,234,238,0.0003677
88,44,29947,West North Central,Female,White,Associate/Junior college,Strong Democrat,Extremely liberal,None,Never,Divorced,Oppose,"Oppose — I believe it's morally wrong, risks executing innocent people, and is applied unfairly; life without parole is a better option.",Oppose,229,101,0.00019495
89,78,9713,West North Central,Female,White,Associate/Junior college,Independent,Moderate,Catholic,2-3 times a month,Widowed,Oppose,"Oppose — As a Catholic and an older person who values life, I don’t support state execution; there’s also the risk of wrongful conviction and life imprisonment is a safer alternative.",Oppose,240,302,0.00044950000000000003
90,55,5898,New England,Male,White,High school,Strong Democrat,Slightly conservative,Protestant,Never,Never married,Favor,Oppose — I’m against state executions; there’s too high a risk of wrongful convictions and I prefer life without parole as a punishment and deterrent.,Oppose,232,296,0.0004396
91,30,33742,Middle Atlantic,Male,White,High school,Not very strong Republican,Slightly conservative,None,Never,Divorced,Favor,"Favor — I believe the death penalty is an appropriate punishment for those convicted of murder and can provide justice and deterrence, though it should be applied carefully with safeguards against wrongful convictions.",Favor,227,237,0.00036435
92,22,1270,Middle Atlantic,Male,White,Bachelor's degree,Strong Democrat,Liberal,None,Never,Never married,Oppose,"Oppose — I view it as morally wrong, prone to irreversible errors, and not an effective deterrent; it clashes with my liberal emphasis on rehabilitation and justice reform.",Oppose,225,171,0.00028125
93,71,24502,Middle Atlantic,Female,White,Graduate degree,Independent,Moderate,Catholic,Never,Never married,Oppose,"Oppose — As a Catholic I believe in the sanctity of life, and I'm concerned about wrongful convictions, the high costs and lack of clear deterrent effect.",Oppose,230,298,0.0004415
94,31,8691,West North Central,Female,White,High school,Independent,Moderate,None,Less than once a year,Divorced,Oppose,"Oppose — I don't trust the justice system to always get it right, it hasn't been shown to deter murder, and life without parole is a safer, less irreversible option.",Oppose,224,300,0.0004422
95,27,18405,East North Central,Male,White,Graduate degree,Independent,Slightly conservative,Protestant,More than once a week,Never married,Favor,"Favor — I believe the death penalty is an appropriate punishment for premeditated, particularly heinous murders as a matter of justice and potential deterrence, though it must be applied carefully to avoid wrongful convictions.",Favor,236,306,0.00045329999999999996
96,38,27607,East North Central,Female,White,Bachelor's degree,Not very strong Republican,Conservative,Protestant,Once a year,Divorced,Favor,"Favor — I believe the death penalty is an appropriate punishment for heinous murders and can provide justice for victims, though I’d want strong safeguards to avoid wrongful convictions.",Favor,235,298,0.00044300000000000003
97,34,43560,New England,Female,White,Graduate degree,Not very strong Democrat,Slightly liberal,Protestant,Never,Married,Favor,"Oppose — I believe the death penalty is irreversible and prone to wrongful convictions and racial/socioeconomic bias. I prefer life without parole as a safer, more just alternative.",Oppose,233,236,0.00036490000000000003
98,47,58080,West North Central,Male,White,Bachelor's degree,"Independent, close to Democrat",Moderate,None,Never,Never married,Favor,"Oppose — I don't support the death penalty: the justice system can be fallible, there's little evidence it deters crime, and life without parole is a safer, more humane alternative.",Oppose,229,303,0.00044745
99,38,18405,West North Central,Male,White,High school,Independent,Moderate,None,Once a year,Married,Favor,"Oppose — I worry about wrongful convictions and unequal application across race and income, and I don't think it reliably deters crime.",Oppose,224,163,0.00027095
