index,age,income,region,sex,race,education,party,ideology,religion,attendance,marital,actual_response,llm_raw,llm_parsed,tokens_input,tokens_output,cost_usd,error
71,65.0,726.0,Middle Atlantic,Female,White,High school,"Independent, close to Democrat",Moderate,Protestant,Nearly every week,Never married,Oppose,,,234.0,200.0,0.0003202,
72,55.0,3067.0,West North Central,Male,Black,High school,Not very strong Republican,Conservative,Protestant,Never,Never married,Oppose,,,234.0,200.0,0.0003202,
73,77.0,50820.0,West North Central,Female,White,Bachelor's degree,Not very strong Democrat,Slightly liberal,Protestant,2-3 times a month,Married,Oppose,,,240.0,200.0,0.000322,
74,31.0,7668.0,Middle Atlantic,Male,White,Associate/Junior college,Not very strong Democrat,Slightly liberal,None,Never,Never married,Favor,,,231.0,200.0,0.0003193,
75,60.0,11247.0,Middle Atlantic,Male,White,Less than high school,Independent,Conservative,Protestant,Every week,Divorced,Favor,Favor — I believe murderers should face the ultimate penalty to provide justice for victims and protect society; it’s a deserved punishment for the worst crimes.,Favor,232.0,167.0,0.00027835,
76,30.0,3680.0,East North Central,Male,White,Less than high school,Independent,Moderate,None,Never,Never married,Favor,,,227.0,200.0,0.0003181,
77,33.0,9713.0,New England,Female,White,Associate/Junior college,Independent,Moderate,None,Less than once a year,Never married,Favor,,,227.0,200.0,0.0003181,
78,36.0,117564.0,New England,Male,White,High school,Strong Democrat,Liberal,None,Never,Never married,Favor,"Oppose — I believe the death penalty is immoral and risks executing innocent people; it hasn’t been shown to deter murder and life without parole is a safer, more just alternative.",Oppose,225.0,173.0,0.00028375,
79,63.0,4991.0,West North Central,Male,White,Graduate degree,Not very strong Democrat,Moderate,Jewish,Several times a year,Divorced,Favor,"Oppose — I believe the risk of wrongful convictions, moral concerns, and the lack of clear deterrent justify abolishing it.",Oppose,236.0,163.0,0.00027455,
80,45.0,181.0,West North Central,Female,White,Bachelor's degree,Not very strong Democrat,Slightly liberal,Protestant,Once a year,Divorced,Oppose,,,234.0,200.0,0.0003202,
81,78.0,36300.0,Middle Atlantic,Male,Black,Associate/Junior college,"Independent, close to Democrat",Liberal,None,Never,Divorced,Oppose,"Oppose — I’m against the death penalty because of wrongful conviction risks, racial bias in sentencing, and doubts it deters crime; I prefer life imprisonment without parole.",Oppose,230.0,107.0,0.00020275,
82,62.0,50820.0,East North Central,Female,White,Graduate degree,Independent,Moderate,None,Never,Widowed,Oppose,,,225.0,200.0,0.0003175,
83,45.0,11247.0,Middle Atlantic,Female,White,High school,Independent,Moderate,None,Never,Married,Favor,"Oppose — I worry about wrongful convictions and unequal application of the death penalty, and I prefer life without parole as a safer, more humane alternative.",Oppose,223.0,167.0,0.00027565,
84,18.0,7713.0,West North Central,Male,Other,High school,Not very strong Democrat,Slightly liberal,Catholic,Nearly every week,Never married,Oppose,,,237.0,200.0,0.0003211,
85,66.0,24502.0,East North Central,Female,White,Bachelor's degree,Not very strong Democrat,Moderate,Catholic,Once a year,Divorced,Favor,,,235.0,200.0,0.00032050000000000004,
86,64.0,50820.0,West North Central,Male,White,High school,Independent,Moderate,Protestant,Every week,Married,Favor,,,231.0,200.0,0.0003193,
87,53.0,117564.0,Middle Atlantic,Female,White,Bachelor's degree,Independent,Slightly liberal,Catholic,Several times a year,Never married,Favor,Oppose — Moral concerns and the risk of wrongful convictions lead me to prefer life imprisonment without parole; this also aligns with my faith's emphasis on the sanctity of life.,Oppose,234.0,172.0,0.0002852,
88,44.0,29947.0,West North Central,Female,White,Associate/Junior college,Strong Democrat,Extremely liberal,None,Never,Divorced,Oppose,"Oppose — I believe the death penalty is cruel, risks executing innocent people, is applied unevenly, and doesn’t effectively deter crime; life without parole is a better, more humane alternative.",Oppose,229.0,176.0,0.0002887,
89,78.0,9713.0,West North Central,Female,White,Associate/Junior college,Independent,Moderate,Catholic,2-3 times a month,Widowed,Oppose,,,240.0,200.0,0.000322,
90,55.0,5898.0,New England,Male,White,High school,Strong Democrat,Slightly conservative,Protestant,Never,Never married,Favor,Oppose — I believe there's too great a risk of wrongful convictions and prefer life without parole as a just alternative.,Oppose,232.0,160.0,0.0002696,
91,30.0,33742.0,Middle Atlantic,Male,White,High school,Not very strong Republican,Slightly conservative,None,Never,Divorced,Favor,,,227.0,200.0,0.0003181,
92,22.0,1270.0,Middle Atlantic,Male,White,Bachelor's degree,Strong Democrat,Liberal,None,Never,Never married,Oppose,,,225.0,200.0,0.0003175,
93,71.0,24502.0,Middle Atlantic,Female,White,Graduate degree,Independent,Moderate,Catholic,Never,Never married,Oppose,,,230.0,200.0,0.000319,
94,31.0,8691.0,West North Central,Female,White,High school,Independent,Moderate,None,Less than once a year,Divorced,Oppose,,,224.0,200.0,0.0003172,
95,27.0,18405.0,East North Central,Male,White,Graduate degree,Independent,Slightly conservative,Protestant,More than once a week,Never married,Favor,,,236.0,200.0,0.0003208,
96,38.0,27607.0,East North Central,Female,White,Bachelor's degree,Not very strong Republican,Conservative,Protestant,Once a year,Divorced,Favor,,,235.0,200.0,0.00032050000000000004,
97,34.0,43560.0,New England,Female,White,Graduate degree,Not very strong Democrat,Slightly liberal,Protestant,Never,Married,Favor,Oppose — I believe it’s morally wrong and carries unacceptable risk of wrongful convictions; it hasn’t been shown to deter murder and I prefer life without parole as an alternative.,Oppose,233.0,172.0,0.0002849,
98,47.0,58080.0,West North Central,Male,White,Bachelor's degree,"Independent, close to Democrat",Moderate,None,Never,Never married,Favor,,,229.0,200.0,0.0003187,
99,,,,,,,,,,,,,,,,,,"Error code: 400 - {'error': {'message': 'Could not finish the message because max_tokens or model output limit was reached. Please try again with higher max_tokens.', 'type': 'invalid_request_error', 'param': None, 'code': None}}"
